SAMU,SMUR,Fonction,F2,Q1,Q2,pourcent,Q3,Q4,Q5,Q6,autre_diplome
1,Bourg en Bresse,CST,,oui,oui,100,jamais,rarement,jamais,non,
6,NICE,CST,,oui,oui,NA,parfois,souvent,jamais,non,
8,CHARLEVILLE-MERIERES,CST,,oui,oui,50,souvent,souvent,souvent,autre,
15,AURILLAC,MED,,oui,oui,100,parfois,souvent,parfois,FI,
17,LA ROCHELLE,CST,IADE,oui,oui,NA,parfois,rarement,jamais,non,
18,BOURGES,MED,CS,oui,oui,NA,parfois,parfois,jamais,non,
18,Bourges,CST,,oui,oui,45,souvent,souvent,parfois,autre,
29,BREST,ADE,,oui,oui,NA,souvent,souvent,jamais,autre,
29,QUIMPER,CST,IADE,oui,oui,100,rarement,parfois,jamais,non,
30,NIMES,IDE,,oui,oui,90,souvent,souvent,rarement,FI,
30,NIMES,CST,,oui,oui,NA,parfois,parfois,jamais,non,
34,MONTPELLIER,ADE,,oui,oui,100,souvent,souvent,jamais,FI,
34,MONTPELLIER,CST,,oui,oui,NA,parfois,parfois,jamais,autre,
38,GRENOBLE,CST,IADE,oui,oui,100,rarement,parfois,jamais,FI,
40,MONT-DE-MARSAN,MED,CS,oui,oui,NA,jamais,souvent,jamais,non,
42A,SAINT-ETIENNE,MED,CS,oui,non,NA,parfois,souvent,rarement,non,
45,ORLEANS,CST,,oui,oui,50,parfois,souvent,rarement,protocole,
45,ORLEANS,ADE,,oui,oui,99,parfois,souvent,rarement,autre,
49,ANGERS,CST,,oui,oui,NA,jamais,rarement,jamais,non,
52,CHAUMONT,MED,CS,oui,oui,NA,jamais,jamais,jamais,non,
56,VANNES,CST,,oui,oui,100,parfois,souvent,rarement,autre,
57,METZ,MED,CS,oui,oui,90,jamais,jamais,jamais,non,
62,ARRAS,IDE,IADE,oui,oui,50,rarement,souvent,rarement,autre,
62,ARRAS,CST,,oui,oui,40,jamais,parfois,jamais,FI,
65,TARBES,ADE,,oui,oui,100,souvent,souvent,jamais,non,
67,STRASBOURG,ADE,,oui,oui,NA,souvent,souvent,parfois,non,
67,HAGUENAU,IDE,,oui,oui,65,rarement,parfois,jamais,non,
67,SELESTAT,IDE,,oui,oui,NA,jamais,souvent,jamais,non,
68,MULHOUSE,MED,,non,non,NA,parfois,rarement,jamais,non,SPP
69,LYON,CST,,oui,oui,13,parfois,souvent,jamais,non,
70,VESOUL,CST,,oui,oui,NA,parfois,jamais,jamais,non,
71,CHALONS-SUR-SAONE,CST,IADE,oui,oui,60,jamais,souvent,jamais,non,
73,CHAMBERY,MED,CS,oui,oui,90,jamais,souvent,jamais,non,
75,PITIE,ADE,,oui,oui,NA,souvent,souvent,parfois,FI,
75,NECKER,MED,,oui,oui,100,rarement,rarement,rarement,protocole,
79,NIORT,ADE,,oui,oui,NA,parfois,souvent,parfois,autre,
79,NIORT,ADE,,oui,oui,97,souvent,souvent,rarement,protocole,
79,NIORT,ADE,,oui,non,90,parfois,souvent,jamais,non,
79,NIORT,ADE,,oui,non,NA,parfois,souvent,jamais,FI,
80,AMIENS,CST,,oui,oui,99,jamais,jamais,jamais,non,
81,ALBI,MED,CS,oui,oui,100,parfois,souvent,jamais,non,
84,AVIGNON,MED,CS,oui,oui,50,souvent,souvent,jamais,non,
86,POITIERS,CST,,oui,oui,75,parfois,souvent,jamais,non,
87,LIMOGES,CST,IADE,oui,oui,100,jamais,NA,jamais,protocole,
90,BELFORT,MED,,oui,oui,50,souvent,souvent,parfois,protocole,
90,BELFORT,ADE,,oui,oui,40,souvent,souvent,parfois,FI,
92,GARCHES,MED,,oui,oui,50,souvent,souvent,parfois,protocole,
92,BEAUJON,ADE,,oui,oui,100,parfois,souvent,jamais,protocole,
94,HENRI MONDOR,MED,,oui,oui,100,rarement,rarement,rarement,non,
94,VILLENEUVE SAINT-GEORGES,MED,,oui,oui,50,souvent,souvent,souvent,protocole,
95,PONTOISE,MED,,oui,non,NA,rarement,souvent,jamais,non,
973,CAYENNE,MED,CS,oui,oui,40,souvent,souvent,jamais,FI,
974,LA REUNION,CST,,oui,oui,100,souvent,souvent,parfois,autre,
987,TAAONE PIRAE,MED,CS,oui,oui,100,jamais,rarement,jamais,non,
